Family	Species	Description	Pain	Minutes
Anthophoridae	Xylocopa magnifica		3.00	10.00
Anthophoridae	Centris pallida	Digger Bee	2.00	2.00
Anthophoridae	Diadasia rinconis	Cactus Bee	2.00	2.00
Anthophoridae	Xylocopa virginica	Eastern Carpenter Bee	2.00	2.00
Anthophoridae	Habropoda pallida	White Faced Bee	1.00	2.00
Anthophoridae	Xenoglossa angustior		1.00	2.00
Apidae	Apis cerana	Asiatic Honey Bee	2.00	10.00
Apidae	Apis mellifera	Western Honey Bee	2.00	10.00
Apidae	Apis dorsata	Giant Honey Bee	2.00	10.00
Apidae	Bombus sonorus	Sonoran Bumble Bee	2.00	5.00
Apoidea	Small bees in general		1.00	2.00
Colletidae	Crawfordapis luctuosa		1.00	2.00
Eumenidae	Monobia quadridens	Four-toothed Mason Wasp	2.00	0.00
Formicidae	Paraponera clavata	Bullet Ant	4.00	300.00
Formicidae	Myrmecia pyriformis	Giant Bull Ant	3.00	0.00
Formicidae	Odontomachus infandus 	Trapjaw Ant	3.00	0.00
Formicidae	Pogonomyrmex (most)		3.00	240.00
Formicidae	Myrmecia nigriceps	Bulldog Ant	2.00	5.00
Formicidae	Diacamma rugosum		2.00	10.00
Formicidae	Dinoponera grandis	Giant Hunting Ant	2.00	10.00
Formicidae	Ectatomma quadridens		2.00	0.00
Formicidae	Ectatomma tuberculatum	Selva Ant	2.00	0.00
Formicidae	Odontomachus haematodus	Trapjaw Ant	2.00	10.00
Formicidae	Odontomachus simillimus	Trapjaw Ant	2.00	0.00
Formicidae	Pachycondyla apicalis		2.00	10.00
Formicidae	Pachycondyla villosa	Hairy Panther Ant	2.00	10.00
Formicidae	Pseudomyrmex nigrocinctus		2.00	5.00
Formicidae	Pseudomyrmex triplarinus		2.00	0.00
Formicidae	Eciton burchelli	 Eciton Army Ant	2.00	5.00
Formicidae	Manica bradleyi	Manica Ant	2.00	0.00
Formicidae	Myrmica hamulata		2.00	240.00
Formicidae	Solenopsis geminata	Tropical Fire Ant	2.00	5.00
Formicidae	Solenopsis invicta	Red Imported Fire Ant	2.00	5.00
Formicidae	Pseudomyrmex mexicanus	Mexican Twig Ant	1.00	5.00
Formicidae	Eciton hamatum		1.00	0.00
Formicidae	Solenopsis xyloni	Southern Fire Ant	1.00	5.00
Mutillidae	Dasymutilla klugii	Velvet Ant	3.00	30.00
Mutillidae	Dasymutilla lepeletierii		2.00	30.00
Mutillidae	Other (small species)		2.00	2.00
Pomilidae	Pepsis formosa	Tarantula Hawk	4.00	5.00
Pomilidae	Other		3.00	2.00
Scoliidae	Various		1.00	2.00
Sphecidae	Most species		1.00	2.00
Vespidae	Synoeca septentrionalis	Warrior Wasp	4.00	60.00
Vespidae	Eustenogaster luzonensis		3.00	0.00
Vespidae	Agelaia panamensis		3.00	10.00
Vespidae	Parachartegus fraternus		3.00	5.00
Vespidae	Polistes annularis	Red Paper Wasp	3.00	10.00
Vespidae	Polistes arizonensis		3.00	10.00
Vespidae	Polistes infuscatus		3.00	10.00
Vespidae	Polistes metricus	Metricus Paper Wasp	3.00	0.00
Vespidae	Apoica pallens	Sunflower Wasp	2.00	5.00
Vespidae	Bachygastra mellifica	Mexican Honey Wasp	2.00	5.00
Vespidae	Mischocyttarus costaricensis		2.00	2.00
Vespidae	Mischocyttarus flavitarsus		2.00	5.00
Vespidae	Polistes canadensis	Paper Wasp	2.00	10.00
Vespidae	Polistes dorsalis	Paper Wasp	2.00	0.00
Vespidae	Polistes exclamans	Paper Wasp	2.00	0.00
Vespidae	Polistes fuscatus	Northern Paper Wasp	2.00	5.00
Vespidae	Polistes instabilis	Paper Wasp	2.00	5.00
Vespidae	Polybia rejecta		2.00	5.00
Vespidae	Polybia sericea		2.00	5.00
Vespidae	Polybia simillima		2.00	0.00
Vespidae	Ropaladia horni		2.00	2.00
Vespidae	Ropalidia nigrescens		2.00	2.00
Vespidae	Ropalidia spatulata 		2.00	3.00
Vespidae	Ropalidia spilostoma		2.00	3.00
Vespidae	Metapolybia docilis		1.00	2.00
Vespidae	Mischocyttarus angulatus	Western Paper Wasp	1.00	2.00
Vespidae	Mischocyttarus atrocyanea		1.00	2.00
Vespidae	Polybia diguetana		1.00	0.00
Vespidae	Polybia occidentalis		1.00	2.00
Vespidae	Ropalidia flavobrunnea		1.00	2.00
Vespinae	Dolichovespula maculata	Bald-faced Hornet	2.00	4.00
Vespinae	Paravespula flavopilosa		2.00	10.00
Vespinae	Paravespula maculifrons		2.00	10.00
Vespinae	Paravespula pensylvanica	Yellowjacket	2.00	10.00
Vespinae	Vespa mandarinia	Asian Giant Hornet	2.00	10.00
Vespinae	Vespa squamosa	Southern Yellowjacket	2.00	10.00
